State,District,Date,Year,Month,Avg_rainfall,Agency_name
Uttar Pradesh,Kushi Nagar,2024-01-13,2024,01,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-01-14,2024,01,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-01-16,2024,01,5.5e-09,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-01-22,2024,01,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-01-28,2024,01,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-08,2024,02,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-14,2024,02,1.0500132148,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-15,2024,02,1.7575998845,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-17,2024,02,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-21,2024,02,0.2731966779,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-02-22,2024,02,0.2950412163,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-03,2024,03,1.8498054469,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-12,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-13,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-14,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-17,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-23,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-26,2024,03,0.2658430051,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-03-29,2024,03,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-04-12,2024,04,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-05-04,2024,05,0.0,NRSC VIC MODEL
Uttar Pradesh,Kushi Nagar,2024-05-06,2024,05,0.0,NRSC VIC MODEL
