latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.56239,78.93146,245.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_direction_10m (°),wind_gusts_10m (km/h),surface_pressure (hPa),precipitation (mm)
2022-01-01T00:00,18.2,85,0.00,54,13.3,991.4,0.00
2022-01-01T01:00,18.0,82,0.00,46,18.7,991.1,0.00
2022-01-01T02:00,17.5,80,0.00,44,19.1,990.2,0.00
2022-01-01T03:00,16.8,77,0.00,37,19.1,990.0,0.00
2022-01-01T04:00,16.0,77,0.00,29,15.1,989.9,0.00
2022-01-01T05:00,15.4,81,0.00,43,13.7,990.7,0.00
2022-01-01T06:00,15.3,80,0.00,43,14.0,991.2,0.00
2022-01-01T07:00,15.8,78,0.00,42,14.8,991.9,0.00
2022-01-01T08:00,17.9,71,0.00,39,16.9,992.9,0.00
2022-01-01T09:00,20.3,65,0.00,62,18.0,993.4,0.00
2022-01-01T10:00,22.6,60,0.00,62,20.2,993.5,0.00
2022-01-01T11:00,24.3,55,0.00,66,22.3,992.6,0.00
2022-01-01T12:00,25.5,51,0.00,69,22.3,991.4,0.00
2022-01-01T13:00,26.2,49,0.00,67,21.6,989.9,0.00
2022-01-01T14:00,26.6,47,0.00,59,20.5,989.1,0.00
2022-01-01T15:00,26.6,46,0.00,50,18.0,988.8,0.00
2022-01-01T16:00,26.1,47,0.00,49,16.2,988.7,0.00
2022-01-01T17:00,24.3,57,0.00,76,14.0,988.8,0.00
2022-01-01T18:00,22.9,63,0.00,81,10.1,989.5,0.00
2022-01-01T19:00,22.0,67,0.00,71,13.7,990.1,0.00
2022-01-01T20:00,21.4,70,0.00,72,15.1,990.6,0.00
2022-01-01T21:00,20.0,76,0.00,77,15.1,990.4,0.00
2022-01-01T22:00,19.9,76,0.00,84,13.3,990.2,0.00
2022-01-01T23:00,18.2,85,0.00,79,10.8,989.8,0.00
2022-01-02T00:00,17.7,88,0.00,66,10.1,989.4,0.00
2022-01-02T01:00,17.3,90,0.00,65,9.7,989.1,0.00
2022-01-02T02:00,16.9,92,0.00,47,9.0,988.6,0.00
2022-01-02T03:00,16.7,92,0.00,32,10.8,988.6,0.00
2022-01-02T04:00,16.5,91,0.00,28,12.6,988.6,0.00
2022-01-02T05:00,16.5,89,0.00,36,12.2,989.3,0.00
2022-01-02T06:00,16.3,88,0.00,37,13.0,989.8,0.00
2022-01-02T07:00,16.8,84,0.00,43,13.3,990.8,0.00
2022-01-02T08:00,18.8,74,0.00,43,18.0,991.6,0.00
2022-01-02T09:00,21.2,65,0.00,47,20.9,992.1,0.00
2022-01-02T10:00,23.4,58,0.00,58,22.3,991.9,0.00
2022-01-02T11:00,25.0,53,0.00,67,22.3,991.0,0.00
2022-01-02T12:00,26.0,50,0.00,68,20.5,989.7,0.00
2022-01-02T13:00,26.7,47,0.00,54,19.1,988.7,0.00
2022-01-02T14:00,27.1,45,0.00,42,17.3,987.7,0.00
2022-01-02T15:00,27.2,44,0.00,43,16.6,987.5,0.00
2022-01-02T16:00,26.9,43,0.00,45,15.8,987.4,0.00
2022-01-02T17:00,24.5,53,0.00,58,15.8,987.6,0.00
2022-01-02T18:00,22.8,59,0.00,50,13.3,988.1,0.00
2022-01-02T19:00,21.8,63,0.00,62,15.5,988.7,0.00
2022-01-02T20:00,20.7,68,0.00,87,15.1,988.8,0.00
2022-01-02T21:00,19.8,74,0.00,103,13.0,988.6,0.00
2022-01-02T22:00,18.7,80,0.00,100,12.6,988.6,0.00
2022-01-02T23:00,17.6,86,0.00,70,9.7,988.3,0.00
2022-01-03T00:00,17.0,89,0.00,43,9.4,988.1,0.00
2022-01-03T01:00,16.9,89,0.00,7,9.4,988.1,0.00
2022-01-03T02:00,17.0,87,0.00,25,13.7,987.7,0.00
2022-01-03T03:00,16.4,88,0.00,27,13.7,987.6,0.00
2022-01-03T04:00,16.1,86,0.00,25,13.7,987.8,0.00
2022-01-03T05:00,16.1,81,0.00,38,15.1,988.3,0.00
2022-01-03T06:00,16.4,78,0.00,48,15.1,988.5,0.00
2022-01-03T07:00,16.8,75,0.00,41,14.8,989.3,0.00
2022-01-03T08:00,18.7,65,0.00,39,19.4,990.5,0.00
2022-01-03T09:00,20.9,57,0.00,47,21.2,991.2,0.00
2022-01-03T10:00,23.2,48,0.00,54,23.4,990.9,0.00
2022-01-03T11:00,24.8,44,0.00,60,23.8,990.0,0.00
2022-01-03T12:00,25.8,43,0.00,62,22.3,988.5,0.00
2022-01-03T13:00,26.5,41,0.00,56,19.1,987.3,0.00
2022-01-03T14:00,26.9,40,0.00,56,16.2,986.5,0.00
2022-01-03T15:00,26.9,40,0.00,49,15.1,986.4,0.00
2022-01-03T16:00,26.6,41,0.00,49,13.0,986.4,0.00
2022-01-03T17:00,24.0,57,0.00,98,10.1,986.9,0.00
2022-01-03T18:00,22.3,60,0.00,106,8.3,987.4,0.00
2022-01-03T19:00,20.8,68,0.00,101,9.0,988.0,0.00
2022-01-03T20:00,19.5,75,0.00,102,9.4,988.7,0.00
2022-01-03T21:00,19.0,79,0.00,97,9.4,988.8,0.00
2022-01-03T22:00,18.1,83,0.00,93,9.4,988.9,0.00
2022-01-03T23:00,17.4,87,0.00,108,10.1,988.5,0.00
2022-01-04T00:00,17.1,87,0.00,108,10.8,988.3,0.00
2022-01-04T01:00,16.5,91,0.00,52,9.0,988.0,0.00
2022-01-04T02:00,16.4,91,0.00,6,11.2,987.6,0.00
2022-01-04T03:00,15.9,92,0.00,17,10.4,987.4,0.00
2022-01-04T04:00,15.4,93,0.00,25,10.4,987.3,0.00
2022-01-04T05:00,15.2,93,0.00,28,9.7,988.1,0.00
2022-01-04T06:00,15.1,90,0.00,43,10.1,988.6,0.00
2022-01-04T07:00,15.7,80,0.00,52,12.6,989.2,0.00
2022-01-04T08:00,18.1,65,0.00,47,15.1,990.3,0.00
2022-01-04T09:00,21.0,51,0.00,50,16.2,990.9,0.00
2022-01-04T10:00,24.0,41,0.00,66,18.4,990.7,0.00
2022-01-04T11:00,25.8,40,0.00,65,18.7,990.0,0.00
2022-01-04T12:00,26.9,39,0.00,59,17.6,988.7,0.00
2022-01-04T13:00,27.7,37,0.00,72,16.9,987.5,0.00
2022-01-04T14:00,28.1,35,0.00,63,16.9,986.6,0.00
2022-01-04T15:00,28.1,34,0.00,62,16.6,986.1,0.00
2022-01-04T16:00,27.7,35,0.00,73,15.5,986.1,0.00
2022-01-04T17:00,25.3,46,0.00,93,13.0,986.5,0.00
2022-01-04T18:00,23.4,52,0.00,97,14.4,986.6,0.00
2022-01-04T19:00,22.1,58,0.00,98,15.5,987.2,0.00
2022-01-04T20:00,21.2,60,0.00,95,16.2,987.7,0.00
2022-01-04T21:00,20.3,62,0.00,97,14.4,987.9,0.00
2022-01-04T22:00,19.0,68,0.00,81,12.6,988.1,0.00
2022-01-04T23:00,18.4,72,0.00,93,9.7,987.4,0.00
2022-01-05T00:00,17.4,78,0.00,118,10.4,987.0,0.00
2022-01-05T01:00,18.7,72,0.00,90,9.7,986.9,0.00
2022-01-05T02:00,17.9,75,0.00,6,6.1,986.6,0.00
2022-01-05T03:00,16.3,84,0.00,30,5.4,986.0,0.00
2022-01-05T04:00,15.5,89,0.00,52,9.0,986.0,0.00
2022-01-05T05:00,14.8,93,0.00,52,9.0,987.0,0.00
2022-01-05T06:00,14.7,93,0.00,48,7.9,988.0,0.00
2022-01-05T07:00,15.5,89,0.00,54,8.6,988.6,0.00
2022-01-05T08:00,18.1,76,0.00,49,11.5,989.7,0.00
